rank,finalWorth,category,personName,age,country,source,industries,organization,selfMade,status,gender,date,gdp_country,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
352,6800,Diversified,Viktor Vekselberg,65,Russia,"Metals, investments",Diversified,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
352,6800,Technology,Wang Laisheng,58,China,Electronics components,Technology,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
352,6800,Energy,Randa Duncan Williams,61,United States,Pipelines,Energy,Enterprise GP Holdings,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Finance & Investments,Ken Fisher,72,United States,Money management,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Finance & Investments,Christopher Hohn,56,United Kingdom,Hedge funds,Finance & Investments,The Children's Investment Fund Management,TRUE,D,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
365,6700,Manufacturing,Kjeld Kirk Kristiansen,75,Denmark,Lego,Manufacturing,,FALSE,D,M,4/4/2023 5:01,"$348,078,018,464",101.3,81,32.4,23.8,5818553
365,6700,Manufacturing,Sofie Kirk Kristiansen,47,Denmark,Lego,Manufacturing,,FALSE,D,F,4/4/2023 5:01,"$348,078,018,464",101.3,81,32.4,23.8,5818553
365,6700,Manufacturing,Thomas Kirk Kristiansen,44,Denmark,Lego,Manufacturing,,FALSE,D,M,4/4/2023 5:01,"$348,078,018,464",101.3,81,32.4,23.8,5818553
365,6700,Healthcare,Massimiliana Landini Aleotti & family,80,Italy,Pharmaceuticals,Healthcare,,FALSE,U,F,4/4/2023 5:01,"$2,001,244,392,042",101.9,82.9,24.3,59.1,60297396
365,6700,Automotive,Li Ping,55,China,Batteries,Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
365,6700,Manufacturing,Lin Jianhua,60,China,Solar panel components,Manufacturing,,TRUE,Split Family Fortune,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
365,6700,Manufacturing,Magdalena Martullo-Blocher,54,Switzerland,Chemicals,Manufacturing,,FALSE,D,F,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
365,6700,Telecom,Xavier Niel,55,France,"Internet, telecom",Telecom,,TRUE,D,M,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
365,6700,Energy,Terrence Pegula,72,United States,Natural gas,Energy,Buffalo Sabres,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Real Estate,"Edward Roski, Jr.",84,United States,Real estate,Real Estate,"Majestic Realty, Co.",FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Real Estate,John A. Sobrato & family,83,United States,Real estate,Real Estate,Sobrato Development Cos.,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Finance & Investments,George Soros,92,United States,Hedge funds,Finance & Investments,Soros Fund Management LLC,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Technology,David Sun,71,United States,Computer hardware,Technology,Kingston Technology Corporation,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Manufacturing,Agnete Kirk Thinggaard,39,Denmark,Lego,Manufacturing,,FALSE,D,F,4/4/2023 5:01,"$348,078,018,464",101.3,81,32.4,23.8,5818553
365,6700,Technology,John Tu,81,United States,Computer hardware,Technology,Kingston Technology Corporation,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
365,6700,Food & Beverage,Xu Shihui,65,China,"Snacks, beverages",Food & Beverage,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
383,6600,Manufacturing,Rahel Blocher,47,Switzerland,Chemicals,Manufacturing,,FALSE,D,F,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
383,6600,Food & Beverage,Bubba Cathy,68,United States,Chick-fil-A,Food & Beverage,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
383,6600,Food & Beverage,Dan Cathy,70,United States,Chick-fil-A,Food & Beverage,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
383,6600,Food & Beverage,Trudy Cathy White,67,United States,Chick-fil-A,Food & Beverage,,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
383,6600,Finance & Investments,Bruce Kovner,78,United States,Hedge funds,Finance & Investments,Caxton Associates LP,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
383,6600,Technology,"Henry Nicholas, III.",63,United States,Semiconductors,Technology,Broadcom,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
383,6600,Finance & Investments,Nadia Thiele,47,Germany,Investments,Finance & Investments,,FALSE,U,F,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
390,6500,Finance & Investments,David Bonderman,80,United States,Private equity,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
390,6500,Technology,Melinda French Gates,58,United States,Microsoft,Technology,Bill & Melinda Gates Foundation,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
390,6500,Fashion & Retail,Nathan Kirsh,91,Eswatini (Swaziland),"Retail, real estate",Fashion & Retail,,TRUE,U,M,4/4/2023 5:01,,,,,,
390,6500,Real Estate,Annette Lerner & family,93,United States,Real estate,Real Estate,,FALSE,N,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
390,6500,Real Estate,David Reuben,84,United Kingdom,"Investments, real estate",Real Estate,,TRUE,D,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
390,6500,Diversified,Simon Reuben,81,Monaco,"Real estate, investments",Diversified,,TRUE,D,M,4/4/2023 5:01,"$7,184,844,193",,,,,38964
390,6500,Real Estate,Radovan Vitek,51,Switzerland,Real estate,Real Estate,,TRUE,U,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
397,6400,Finance & Investments,Carl Bennet,71,Sweden,Investments,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$530,832,908,738",126.6,82.5,27.9,49.1,10285453
397,6400,Sports,Stephen Bisciotti,62,United States,"Staffing, Baltimore Ravens",Sports,Baltimore Ravens,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
397,6400,Finance & Investments,Stanley Druckenmiller,69,United States,Hedge funds,Finance & Investments,Duquesne Family Office,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
397,6400,Healthcare,Jian Jun,59,China,Biomedical products,Healthcare,,TRUE,U,F,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
397,6400,Energy,Alexei Kuzmichev,60,France,"Oil, banking, telecom",Energy,,TRUE,U,M,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
397,6400,Manufacturing,Dmitry Rybolovlev & family,56,Monaco,Fertilizer,Manufacturing,,TRUE,D,M,4/4/2023 5:01,"$7,184,844,193",,,,,38964
397,6400,Finance & Investments,Luis Carlos Sarmiento,90,Colombia,Banking,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$323,802,808,108",114.5,77.1,14.4,71.2,50339443
397,6400,Logistics,Dennis Washington,88,United States,"Construction, mining",Logistics,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
405,6300,Construction & Engineering,Anthony Bamford & family,77,United Kingdom,Construction equipment,Construction & Engineering,,FALSE,U,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
405,6300,Energy,Gao Jifan & family,58,China,Solar equipment,Energy,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
405,6300,Finance & Investments,John Grayken,66,United Kingdom,Private equity,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
405,6300,Healthcare,Alain Merieux & family,85,France,Pharmaceuticals,Healthcare,,FALSE,D,M,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
405,6300,Energy,Wang Yusuo & family,59,China,Natural gas distribution,Energy,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
405,6300,Manufacturing,Stef Wertheimer & family,96,Israel,Metalworking tools,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$395,098,666,122",104.9,82.8,23.1,25.3,9053300
411,6200,Food & Beverage,Maria Asuncion Aramburuzabala & family,59,Mexico,"Beer, investments",Food & Beverage,,FALSE,E,F,4/4/2023 5:01,"$1,258,286,717,125",105.8,75,13.1,55.1,126014024
411,6200,Diversified,Gustaf Douglas,85,Sweden,Investments,Diversified,,TRUE,D,M,4/4/2023 5:01,"$530,832,908,738",126.6,82.5,27.9,49.1,10285453
411,6200,Service,Frits Goldschmeding,89,Netherlands,Temp agency,Service,,TRUE,U,M,4/4/2023 5:01,"$909,070,395,161",104.2,81.8,23,41.2,17332850
411,6200,Food & Beverage,Lin Muqin & family,59,China,Beverages,Food & Beverage,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
411,6200,Manufacturing,Ruan Liping,59,China,Power strips,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
411,6200,Manufacturing,Ruan Xueping,51,China,Power strip,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
411,6200,Finance & Investments,Michal Solowow,60,Poland,Investments,Finance & Investments,,TRUE,E,M,4/4/2023 5:01,"$592,164,400,688",100,77.6,17.4,40.8,37970874
418,6100,Diversified,Mike Adenuga,69,Nigeria,"Telecom, oil",Diversified,,TRUE,D,M,4/4/2023 5:01,"$448,120,428,859",84.7,54.3,1.5,34.8,200963599
418,6100,Finance & Investments,Tom Gores,58,United States,Private equity,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
418,6100,Fashion & Retail,Michael Herz,79,Germany,Coffee,Fashion & Retail,,FALSE,U,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
418,6100,Fashion & Retail,Wolfgang Herz,72,Germany,Coffee,Fashion & Retail,,FALSE,U,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
418,6100,Energy,Michael Kadoorie,81,Hong Kong,"Hotels, energy",Energy,,FALSE,D,M,4/4/2023 5:01,,,,,,
418,6100,Telecom,Sunil Mittal,65,,Telecom,Telecom,,TRUE,Split Family Fortune,M,4/4/2023 5:01,,,,,,
418,6100,Technology,Zhou Qunfei,53,Hong Kong,Smartphone screens,Technology,Lens Technology,TRUE,D,F,4/4/2023 5:01,,,,,,
425,6000,Metals & Mining,Alexander Abramov,64,Russia,"Steel, mining",Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
425,6000,Real Estate,Rene Benko,46,Austria,"Real estate, retail",Real Estate,,TRUE,U,M,4/4/2023 5:01,"$446,314,739,528",103.1,81.6,25.4,51.4,8877067
425,6000,Real Estate,Neil Bluhm,85,United States,Real estate,Real Estate,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
425,6000,Fashion & Retail,Alain Bouchard,74,Canada,Convinience stores,Fashion & Retail,Alimentation Couche Tard Inc. Cl A,TRUE,U,M,4/4/2023 5:01,"$1,736,425,629,520",100.9,81.9,12.8,24.5,36991981
425,6000,Technology,Jay Chaudhry,63,United States,Security software,Technology,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
425,6000,Fashion & Retail,Gopikishan Damani,65,India,"Retail, investments",Fashion & Retail,,TRUE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
425,6000,Diversified,Sumet Jiaravanon,88,Thailand,Diversified,Diversified,,FALSE,U,M,4/4/2023 5:01,"$543,649,976,166",99.8,76.9,14.9,29.5,69625582
425,6000,Finance & Investments,Joe Lewis,86,Bahamas,Investments,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,,,,,,
425,6000,Finance & Investments,Frank Lowy,92,Israel,Investments,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$395,098,666,122",104.9,82.8,23.1,25.3,9053300
425,6000,Finance & Investments,Michael Milken,76,United States,Investments,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
425,6000,Technology,David Steward,71,United States,IT provider,Technology,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
425,6000,Fashion & Retail,Les Wexner & family,85,United States,Retail,Fashion & Retail,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
437,5900,Real Estate,Cai Kui,60,China,Real estate,Real Estate,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
437,5900,Diversified,Jaran Chiaravanont,93,Thailand,Diversified,Diversified,,FALSE,U,M,4/4/2023 5:01,"$543,649,976,166",99.8,76.9,14.9,29.5,69625582
437,5900,Finance & Investments,Andreas Halvorsen,61,United States,Hedge funds,Finance & Investments,Viking Global Investors,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
437,5900,Finance & Investments,Antony Ressler,62,United States,Finance,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
437,5900,Food & Beverage,Tsai Eng-meng,66,China,"Food, beverages",Food & Beverage,,FALSE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
442,5800,Finance & Investments,Josh Harris,58,United States,Private equity,Finance & Investments,,TRUE,E,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
442,5800,Healthcare,Niels Peter Louis-Hansen,75,Denmark,Medical devices,Healthcare,,FALSE,D,M,4/4/2023 5:01,"$348,078,018,464",101.3,81,32.4,23.8,5818553
442,5800,Healthcare,Patrick Soon-Shiong,70,United States,Pharmaceuticals,Healthcare,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
445,5700,Metals & Mining,Rinat Akhmetov,56,Ukraine,"Steel, coal",Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$153,781,069,118",99,71.6,20.1,45.2,44385155
445,5700,Healthcare,John Brown,88,United States,Medical equipment,Healthcare,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
445,5700,Media & Entertainment,Clive Calder,76,Cayman Islands,Record label,Media & Entertainment,,TRUE,E,M,4/4/2023 5:01,,,,,,
445,5700,Energy,Arthur Irving,93,Canada,Oil,Energy,,FALSE,U,M,4/4/2023 5:01,"$1,736,425,629,520",100.9,81.9,12.8,24.5,36991981
445,5700,Real Estate,Fredrik Lundberg,71,Sweden,"Real estate, investments",Real Estate,,FALSE,D,M,4/4/2023 5:01,"$530,832,908,738",126.6,82.5,27.9,49.1,10285453
445,5700,Construction & Engineering,Thomas Schmidheiny,77,Switzerland,Cement,Construction & Engineering,,FALSE,U,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
445,5700,Logistics,Helmut Sohmen,83,Hong Kong,Shipping,Logistics,,FALSE,U,M,4/4/2023 5:01,,,,,,
445,5700,Finance & Investments,Daniel Ziff,51,United States,Investments,Finance & Investments,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
445,5700,Finance & Investments,Dirk Ziff,59,United States,Investments,Finance & Investments,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
445,5700,Finance & Investments,Robert Ziff,56,United States,Investments,Finance & Investments,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
455,5600,Logistics,Maria Angelicoussis,41,Greece,Shipping,Logistics,,FALSE,N,F,4/4/2023 5:01,"$209,852,761,469",99.6,81.3,26.2,51.9,10716322
455,5600,Energy,Ray Lee Hunt,79,United States,"Oil, real estate",Energy,,FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
455,5600,Logistics,Lai Meisong,52,China,Package delivery,Logistics,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
455,5600,Automotive,Vikram Lal & family,81,India,Motorcycles,Automotive,,FALSE,U,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
455,5600,Finance & Investments,Ken Langone,87,United States,Investments,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
455,5600,Healthcare,Li Ge,56,China,Pharmaceutical ingredients,Healthcare,,TRUE,Split Family Fortune,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
455,5600,Finance & Investments,Karen Pritzker,65,United States,"Hotels, investments",Finance & Investments,,FALSE,D,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
455,5600,Service,Robert Rowling,69,United States,"Hotels, investments",Service,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
455,5600,Gambling & Casinos,Teddy Sagi,51,Israel,Gambling software,Gambling & Casinos,,TRUE,E,M,4/4/2023 5:01,"$395,098,666,122",104.9,82.8,23.1,25.3,9053300
455,5600,Healthcare,Seo Jung-jin,65,South Korea,Biotech,Healthcare,Celltrion Inc.,TRUE,D,M,4/4/2023 5:01,"$2,029,000,000,000",98.1,82.6,15.6,33.2,51709098
455,5600,Automotive,Wu Jianshu,59,China,Auto parts,Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
466,5500,Service,Micky Arison,73,United States,Carnival Cruises,Service,Carnival Corp.,FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Media & Entertainment,James Chambers,65,United States,"Media, automotive",Media & Entertainment,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Technology,Pierre Chen,66,Taiwan,Electronics,Technology,,TRUE,U,M,4/4/2023 5:01,,,,,,
466,5500,Technology,John Collison,32,United States,Payments software,Technology,Stripe,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Technology,Patrick Collison,34,United States,Payment software,Technology,Stripe,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Manufacturing,Archie Aldis Emmerson & family,93,United States,"Timberland, lumber mills",Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Automotive,Piero Ferrari,77,Italy,Automobiles,Automotive,,FALSE,U,M,4/4/2023 5:01,"$2,001,244,392,042",101.9,82.9,24.3,59.1,60297396
466,5500,Automotive,Dan Friedkin,58,United States,Toyota dealerships,Automotive,Gulf States Toyota,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Diversified,James Irving,95,Canada,Diversified,Diversified,,FALSE,U,M,4/4/2023 5:01,"$1,736,425,629,520",100.9,81.9,12.8,24.5,36991981
466,5500,Manufacturing,Jiang Weiping & family,68,China,Chemicals,Manufacturing,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
466,5500,Healthcare,Wolfgang Marguerre & family,81,Germany,Pharmaceuticals,Healthcare,,TRUE,U,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
466,5500,Finance & Investments,Ludwig Merckle,58,Germany,Pharmaceuticals,Finance & Investments,,FALSE,D,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
466,5500,Manufacturing,Mitchell Rales,66,United States,"Manufacturing, investments",Manufacturing,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Media & Entertainment,Katharine Rayner,78,United States,"Media, automotive",Media & Entertainment,,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Finance & Investments,Jean Salata,57,Hong Kong,Finance,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,,,,,,
466,5500,Finance & Investments,Paul Singer,78,United States,Hedge funds,Finance & Investments,Elliott Management,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Healthcare,Sergio Stevanato & family,80,Italy,Medical packaging,Healthcare,,TRUE,U,M,4/4/2023 5:01,"$2,001,244,392,042",101.9,82.9,24.3,59.1,60297396
466,5500,Media & Entertainment,Margaretta Taylor,80,United States,"Media, automotive",Media & Entertainment,,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
466,5500,Technology,Richard White,68,Australia,Software,Technology,,TRUE,U,M,4/4/2023 5:01,"$1,392,680,589,329",100.3,82.7,23,47.4,25766605
466,5500,Diversified,Zhao Yan,56,China,Biotech,Diversified,,TRUE,D,F,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
486,5400,Fashion & Retail,Patrizio Bertelli,77,Italy,Luxury goods,Fashion & Retail,,TRUE,U,M,4/4/2023 5:01,"$2,001,244,392,042",101.9,82.9,24.3,59.1,60297396
486,5400,Manufacturing,Mahendra Choksi & family,81,India,Paints,Manufacturing,,FALSE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
486,5400,Finance & Investments,Mat Ishbia,43,United States,Mortgage lender,Finance & Investments,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
486,5400,Technology,Leo Koguan,68,Singapore,IT provider,Technology,,TRUE,D,M,4/4/2023 5:01,"$372,062,527,489",100.6,83.1,13.1,21,5703569
486,5400,Diversified,Miao Hangen,58,China,"Textiles, petrochemicals",Diversified,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
486,5400,Manufacturing,Michael Pieper,77,Switzerland,Kitchen appliances,Manufacturing,Artemis Real Estate Partners,TRUE,U,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
486,5400,Fashion & Retail,Miuccia Prada,73,Italy,Luxury goods,Fashion & Retail,Prada,FALSE,U,F,4/4/2023 5:01,"$2,001,244,392,042",101.9,82.9,24.3,59.1,60297396
486,5400,Fashion & Retail,Wolfgang Reimann,70,Germany,Consumer goods,Fashion & Retail,,FALSE,D,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
486,5400,Fashion & Retail,Matthias Reimann-Andersen,58,Germany,Consumer goods,Fashion & Retail,,FALSE,D,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
486,5400,Fashion & Retail,Stefan Reimann-Andersen,59,Austria,Consumer goods,Fashion & Retail,,FALSE,D,M,4/4/2023 5:01,"$446,314,739,528",103.1,81.6,25.4,51.4,8877067
486,5400,Fashion & Retail,Renate Reimann-Haas,71,Austria,Consumer goods,Fashion & Retail,,FALSE,D,F,4/4/2023 5:01,"$446,314,739,528",103.1,81.6,25.4,51.4,8877067
497,5300,Finance & Investments,Todd Boehly,49,United States,Finance,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Real Estate,Rick Caruso,64,United States,Real estate,Real Estate,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Manufacturing,Ibrahim Erdemoglu,60,Turkey,Carpet,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$754,411,708,203",93.2,77.4,17.9,42.3,83429615
497,5300,Finance & Investments,Elizabeth Johnson,59,United States,Fidelity,Finance & Investments,,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Finance & Investments,Douglas Leone,65,United States,Venture capital,Finance & Investments,Sequoia,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Diversified,Prajogo Pangestu,78,Indonesia,Petrochemicals,Diversified,,FALSE,D,M,4/4/2023 5:01,"$1,119,190,780,753",106.4,71.5,10.2,30.1,270203917
497,5300,Finance & Investments,Thomas Pritzker,72,United States,"Hotels, investments",Finance & Investments,Hyatt Hotels,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Food & Beverage,Lynda Resnick,80,United States,Agriculture,Food & Beverage,,TRUE,Split Family Fortune,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Food & Beverage,Stewart Resnick,86,United States,Agriculture,Food & Beverage,,TRUE,Split Family Fortune,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Service,Gary Rollins,78,United States,Pest control,Service,,FALSE,E,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Finance & Investments,Mark Walter,62,United States,"Finance, asset management",Finance & Investments,Guggenheim Partners LLC,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Manufacturing,Ronald Wanek,81,United States,Furniture,Manufacturing,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
497,5300,Food & Beverage,Erich Wesjohann & family,77,Germany,Poultry genetics,Food & Beverage,,TRUE,D,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
497,5300,Fashion & Retail,M.A. Yusuff Ali,67,United Arab Emirates,Retail,Fashion & Retail,,TRUE,D,M,4/4/2023 5:01,"$421,142,267,938",108.4,77.8,0.1,15.9,9770529
511,5200,Finance & Investments,Alexandre Behring,56,United States,Investments,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
